ID,condition,RT,resp,ACC
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,livingPrac, 430," ""f""", 0
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,livingPrac, 593," ""f""", 1
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,livingPrac, 914," ""j""", 0
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,livingPrac, 722," ""j""", 1
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,livingPrac, 642," ""f""", 1
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,livingPrac," ""NA"""," ""NA"""," ""NA"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,livingPrac," ""NA"""," ""NA"""," ""NA"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,livingPrac," ""NA"""," ""NA"""," ""NA"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,livingPrac," ""NA"""," ""NA"""," ""NA"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,livingPrac," ""NA"""," ""NA"""," ""NA"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,livingPrac," ""NA"""," ""NA"""," ""NA"""
A165WVAJB8MIC0:3J4Q2Z4UTZMNY6YFY3H3F2OTONSWQV,livingPrac," ""NA"""," ""NA"""," ""NA"""
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingPrac, 437," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingPrac, 247," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingPrac, 137," ""j""", 0
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingPrac, 138," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingPrac, 248," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingPrac, 188," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingPrac, 139," ""f""", 0
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingPrac, 570," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingPrac, 786," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingPrac, 440," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingPrac, 305," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingPrac, 400," ""f""", 0
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 719," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 287," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 240," ""f""", 0
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 476," ""j""", 0
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 579," ""f""", 0
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 562," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 504," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 449," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 425," ""j""", 0
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 514," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 520," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 569," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 425," ""f""", 0
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 499," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 441," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 416," ""j""", 0
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 499," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 552," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 585," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 594," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 617," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 600," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 554," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 449," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 489," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 442," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 448," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 473," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 465," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 617," ""j""", 0
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 603," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 504," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 536," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,livingReal, 472," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizePrac, 517," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizePrac, 440," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizePrac, 500," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizePrac, 478," ""f""", 0
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizePrac, 467," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizePrac, 736," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizePrac, 681," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizePrac, 504," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizePrac, 594," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizePrac, 585," ""f""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizePrac, 543," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizePrac, 649," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizeReal, 686," ""j""", 1
A2CT4NPTC5TC1Z:3M81GAB8A1PSQT4XNLB7NOID79MQBV,sizeReal, 529," ""f""", 1
